sample-id	forward-absolute-filepath	reverse-absolute-filepath
Blank	/mnt/shared/training/qiime2/Blank-Day-1-TP1-EP2022_S68_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/Blank-Day-1-TP1-EP2022_S68_L001_R2_001.fastq.gz
Microbial-community-standard	/mnt/shared/training/qiime2/Microbial-community-standard_S109_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/Microbial-community-standard_S109_L001_R2_001.fastq.gz
P100	/mnt/shared/training/qiime2/P100-TP1-EP2022_S95_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/P100-TP1-EP2022_S95_L001_R2_001.fastq.gz
P12	/mnt/shared/training/qiime2/P12-R1-D17_S42_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/P12-R1-D17_S42_L001_R2_001.fastq.gz
P16	/mnt/shared/training/qiime2/P16-TP1-EP2022_S83_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/P16-TP1-EP2022_S83_L001_R2_001.fastq.gz
P2	/mnt/shared/training/qiime2/P2-TP1-EP2022_S106_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/P2-TP1-EP2022_S106_L001_R2_001.fastq.gz
P38	/mnt/shared/training/qiime2/P38-TP1-EP2022_S39_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/P38-TP1-EP2022_S39_L001_R2_001.fastq.gz
P45	/mnt/shared/training/qiime2/P45-TP1-EP2022_S73_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/P45-TP1-EP2022_S73_L001_R2_001.fastq.gz
P4	/mnt/shared/training/qiime2/P4-TP1-EP2022_S101_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/P4-TP1-EP2022_S101_L001_R2_001.fastq.gz
P60	/mnt/shared/training/qiime2/P60-R3-D17-2_S97_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/P60-R3-D17-2_S97_L001_R2_001.fastq.gz
P77	/mnt/shared/training/qiime2/P77-TP1-EP2022_S72_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/P77-TP1-EP2022_S72_L001_R2_001.fastq.gz
P87	/mnt/shared/training/qiime2/P87-TP1-EP2022_S61_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/P87-TP1-EP2022_S61_L001_R2_001.fastq.gz
P97	/mnt/shared/training/qiime2/P97-TP1-EP2022_S57_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/P97-TP1-EP2022_S57_L001_R2_001.fastq.gz
P105	/mnt/shared/training/qiime2/P105-TP1-EP2022_S116_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/P105-TP1-EP2022_S116_L001_R2_001.fastq.gz
P17	/mnt/shared/training/qiime2/P17-TP1-EP2022_S92_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/P17-TP1-EP2022_S92_L001_R2_001.fastq.gz
P28	/mnt/shared/training/qiime2/P28-TP1-EP2022_S70_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/P28-TP1-EP2022_S70_L001_R2_001.fastq.gz
P31	/mnt/shared/training/qiime2/P31-TP1-EP2022_S82_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/P31-TP1-EP2022_S82_L001_R2_001.fastq.gz
P44	/mnt/shared/training/qiime2/P44-TP1-EP2022_S69_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/P44-TP1-EP2022_S69_L001_R2_001.fastq.gz
P52	/mnt/shared/training/qiime2/P52-TP1-EP2022_S35_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/P52-TP1-EP2022_S35_L001_R2_001.fastq.gz
P69	/mnt/shared/training/qiime2/P69-TP1-EP2022_S89_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/P69-TP1-EP2022_S89_L001_R2_001.fastq.gz
P14	/mnt/shared/training/qiime2/P14-TP1-EP2022_S78_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/P14-TP1-EP2022_S78_L001_R2_001.fastq.gz
P37	/mnt/shared/training/qiime2/P37-TP1-EP2022_S93_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/P37-TP1-EP2022_S93_L001_R2_001.fastq.gz
P40	/mnt/shared/training/qiime2/P40-TP1-EP2022_S91_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/P40-TP1-EP2022_S91_L001_R2_001.fastq.gz
P48	/mnt/shared/training/qiime2/P48-TP1-EP2022_S103_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/P48-TP1-EP2022_S103_L001_R2_001.fastq.gz
P54	/mnt/shared/training/qiime2/P54-TP1-EP2022_S85_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/P54-TP1-EP2022_S85_L001_R2_001.fastq.gz
P5	/mnt/shared/training/qiime2/P5-TP1-EP2022_S51_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/P5-TP1-EP2022_S51_L001_R2_001.fastq.gz
P65	/mnt/shared/training/qiime2/P65-TP1-EP2022_S111_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/P65-TP1-EP2022_S111_L001_R2_001.fastq.gz
P68	/mnt/shared/training/qiime2/P68-TP1-EP2022_S112_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/P68-TP1-EP2022_S112_L001_R2_001.fastq.gz
P71	/mnt/shared/training/qiime2/P71-TP1-EP2022_S67_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/P71-TP1-EP2022_S67_L001_R2_001.fastq.gz
P74	/mnt/shared/training/qiime2/P74-TP1-EP2022_S100_L001_R1_001.fastq.gz	/mnt/shared/training/qiime2/P74-TP1-EP2022_S100_L001_R2_001.fastq.gz
